id,contract_epsilon,B,S,R,D,L,F,r,g,b,nx,ny,nz,gpu_r,raw_reference,safe_reference,positive_r,coefficient_denominator,stable_denominator,tone_reference
epsilon_1e-05_front,1e-05,0.5,0.99999,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.00447517354041338,0.00447212477463554,0.004475162498342389,0.00447517354041338,0.2499999409288359,0.24999994092883593,0.004475160373968778
epsilon_1e-05_grazing,1e-05,0.5,0.99999,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999499887489374,0.0,0.010001,0.7456710338592529,0.7452951206751245,0.7456323781361351,0.7456710338592529,0.2500000292816505,0.2500000292816505,0.7456322876969314
epsilon_1e-05_reverse,1e-05,0.5,0.0,0.0,0.99999,1e-05,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,1.0013585779233836e-05,1e-05,1.0000004515703665e-05,1.0013585779233836e-05,0.24999994039654733,0.24999994039654733,9.999999747378752e-06
epsilon_1e-06_dark,1e-06,1e-06,0.0,0.0,0.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,1.5479876310564578e-05,1.0,1.0,1.0,0.0,1.547987591951001e-10,1.0
epsilon_1e-06_black,1e-06,0.999999,0.0,0.0,0.999999,1.0,0.01,0.0,0.0,0.0,0.4358898943540673,0.0,0.9,0.9999898672103882,0.0,0.9999998985344866,0.9999998807907104,9.999899704337648e-06,9.99989961295415e-06,0.9999998986720972
epsilon_1e-06_front,1e-06,0.5,0.999999,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.00447517354041338,0.0014142132088399936,0.004475162498342389,0.00447517354041338,0.2499999409288359,0.24999994092883593,0.004475160373968778
epsilon_1e-06_grazing,1e-06,0.5,0.999999,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999499887489374,0.0,0.010001,0.7456710338592529,0.2772635423219904,0.7456323781361351,0.7456710338592529,0.2500000292816505,0.2500000292816505,0.7456322876969314
epsilon_1e-06_reverse,1e-06,0.5,0.0,0.0,0.999999,1e-06,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,1.0132794159289915e-06,1e-06,1.0000004743120368e-06,1.0132794159289915e-06,0.24999994039547443,0.2499999403954744,9.999999974752427e-07
legal_universal_counterexample,0.01,0.5,0.0,0.0,0.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,0.7739937901496887,1.0,1.0,1.0,7.718801498413086e-06,7.739938155282289e-06,1.0
legal_shadow_floor,0.01,0.99,0.0,0.0,1e-06,0.01,0.01,0.99999,0.99999,0.99999,0.0,0.0,-1.0,0.09899774938821793,0.8131473007392706,0.8130118149323955,0.8130118250846863,1.2176667639631188e-06,1.2176667639631188e-06,9.999999974752427e-07
